,ID,Name,Latitude,Longitude,Borough,Neighborhood
0,59832a7bfe37406ea7eb3a79,Statcare Urgent & Walk-In Medical Care (Bronx Bartow Mall),40.87016824346915,-73.82840369877664,Bronx,Co-op City
1,568e86f5498ec6df53771448,CityMD Baychester Urgent Care - Bronx,40.8667947,-73.827051,Bronx,Co-op City
2,50173409e4b0cfe38c43abf4,wellcare,40.87424710991052,-73.83774527114717,Bronx,Co-op City
3,5158ddffe4b086af71ca90c7,The Mollie & Jack Zicklin Jewish Hospice Residence,40.888477948104644,-73.9100474722614,Bronx,Fieldston
4,5158ddffe4b086af71ca90c7,The Mollie & Jack Zicklin Jewish Hospice Residence,40.888477948104644,-73.9100474722614,Bronx,Riverdale
5,54fdced1498ee99fd361606f,CityMD Riverdale,40.8844755,-73.9003567,Bronx,Kingsbridge
6,5bd99c779ba3e5002cc6ef5f,AFC Urgent Care Kingsbridge,40.877767999999996,-73.905209,Bronx,Kingsbridge
7,5158ddffe4b086af71ca90c7,The Mollie & Jack Zicklin Jewish Hospice Residence,40.888477948104644,-73.9100474722614,Bronx,Kingsbridge
8,5b4858a39e3b65002c82b424,Urgent Care of New York,40.9039237,-73.86767499999999,Bronx,Woodlawn
9,4addedeaf964a520646621e3,Montefiore Medical Center - Wakefield Campus,40.89420660561763,-73.86079027607352,Bronx,Woodlawn
10,55bfa911498e4ea1b1e02dc1,Montefiore Medical Center Vascular Lab,40.87983322143555,-73.87993621826172,Bronx,Norwood
11,4c3e307edb3b1b8d56106595,The Children’s Hospital at Montefiore,40.88063954722417,-73.87915344814844,Bronx,Norwood
12,4ae06d2df964a520347f21e3,Montefiore Medical Center,40.87993788345708,-73.88086795806885,Bronx,Norwood
13,4b6de6a8f964a520439a2ce3,North Central Bronx Hospital,40.88044133267162,-73.88152630976307,Bronx,Norwood
14,4fce85b0e4b0349ae32ed224,Montifiore Medical Center Icu,40.881459652965475,-73.87942665955883,Bronx,Norwood
15,4e43cc8b52b18fcc79922abb,Jerome I. and Dawn Greene Medical Arts Pavillion (Monte),40.880633,-73.878509,Bronx,Norwood
16,50e6d8ffe4b075f63dd58289,Children's Hospital At Montefiore,40.88039137785859,-73.87859977945082,Bronx,Norwood
17,53767f38498ef4af737a93ea,Montefieri Medial Center -Radiation,40.87983322143555,-73.87991333007812,Bronx,Norwood
18,4fb13bebe4b01cbf311cfe86,OHS @ Montefiore Medical Center,40.88102247126974,-73.87876056196734,Bronx,Norwood
19,4f6caa38e4b0d638a0479f32,nursing office,40.87992599658588,-73.87892134435194,Bronx,Norwood
20,5727407b498ee5413ae769ac,Dermatopathology Suite MMC,40.879854,-73.878283,Bronx,Norwood
21,50630a42e4b0530cb8d3e6f5,Montefiore Hospital Adult medicine practice,40.881245,-73.881121,Bronx,Norwood
22,51796f31e4b0b3ca012a6a98,Montefiore CSICU,40.88113379059856,-73.87955873036397,Bronx,Norwood
23,4f4d00dfe4b082dc5b340456,Adolescent AIDS program At The Children's Hospital At Montefire Medical Center,40.88105598218058,-73.87727906092958,Bronx,Norwood
24,4e08be4bfa767637fd328975,Montefiore Silverzone 7th Floor,40.879988,-73.877344,Bronx,Norwood
25,4df65914d1649c8a28ec4d45,Adolescent AIDS program,40.88107085080322,-73.87711217443594,Bronx,Norwood
26,568e86f5498ec6df53771448,CityMD Baychester Urgent Care - Bronx,40.8667947,-73.827051,Bronx,Baychester
27,59832a7bfe37406ea7eb3a79,Statcare Urgent & Walk-In Medical Care (Bronx Bartow Mall),40.87016824346915,-73.82840369877664,Bronx,Baychester
28,50173409e4b0cfe38c43abf4,wellcare,40.87424710991052,-73.83774527114717,Bronx,Baychester
29,4ebb987b9a52d00624f1b07e,Kings Harbor Multicare Center N/H,40.860527000000005,-73.831118,Bronx,Baychester
30,4ae0c9e6f964a5207f8221e3,NYC Health + Hospitals/Jacobi,40.85680869123934,-73.84673927422882,Bronx,Pelham Parkway
31,582c1ea55d0a1a47f679837f,CityMD Pelham Parkway Urgent Care - Bronx,40.8557705,-73.8674752,Bronx,Pelham Parkway
32,4f33fb26e4b0de3f86043055,Building 1: 9E,40.855959999999996,-73.84645,Bronx,Pelham Parkway
33,4f07412be4b05dd3a1dfe12b,Van Etten-Albert Einstein College of Medicine,40.852606,-73.846368,Bronx,Pelham Parkway
34,51781f25498eac4e6c1077cd,Albert Einstein Nuclear Medine,40.850917120540956,-73.8484392440481,Bronx,Pelham Parkway
35,500d8ff1e4b0ddfaa7f4fff5,Building 8: 7th fl labor & Delivery,40.856789,-73.847286,Bronx,Pelham Parkway
36,5b3e0050535d6f002c059acf,CityMD Fordham Urgent Care - Bronx,40.8617135,-73.8918667,Bronx,Bedford Park
37,4e5d406118a8463c4d94db19,Montefiore @ One Fordham Plaza,40.86110443058266,-73.89012209514023,Bronx,Bedford Park
38,4e459bd5b61c03d0cd00a317,Burnside Pharmacy,40.85264462792696,-73.9115631724164,Bronx,University Heights
39,4fd61f9de4b0cb311fddd14f,University Medical Associates,40.854676,-73.911876,Bronx,University Heights
40,50e7503f498ee1a0b6468556,Bronx Lebanon Hospital (Labor & Delivery),40.84624594288341,-73.90907144697903,Bronx,University Heights
41,4eca5f6702d5888e9f277fed,NewYork-Presbyterian - Labor and Delivery,40.86000688290365,-73.91534663002624,Bronx,University Heights
42,564bd497498e9205c8ca49f3,Metro UrgiCare,40.845806,-73.92145500000001,Bronx,Morris Heights
43,4ac4ac71f964a520d19e20e3,Bronx Lebanon Hospital,40.84355157569349,-73.91149720301404,Bronx,Morris Heights
